ID,ST_SMILES
494,"CC#CCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)C[C@H]2C[C@H]1O
"
502,"COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2
"
515,"O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1
"
528,"CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=CCS[C@H]12)c1csc(N)n1
"
531,"CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
"
534,"CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1
"
535,"CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C
"
549,"CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
"
554,"CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
"
561,"CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21
"
567,"OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
"
570,"CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21
"
580,"O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O
"
583,"Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1
"
584,"Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C
"
588,"Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1
"
593,"CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1
"
606,"CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC
"
611,"COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC
"
